district,pm_id,year,quarter,result
South Ari Learning Alliance,2,2018,4,1
South Ari Learning Alliance,2,2019,2,2
South Ari Learning Alliance,2,2019,4,2
South Ari Learning Alliance,2,2020,2,3
South Ari Learning Alliance,3,2018,4,2
South Ari Learning Alliance,3,2019,2,2
South Ari Learning Alliance,3,2019,4,2
South Ari Learning Alliance,3,2020,2,2
South Ari Learning Alliance,4,2018,4,2
South Ari Learning Alliance,4,2019,2,1
South Ari Learning Alliance,4,2019,4,1
South Ari Learning Alliance,4,2020,2,2
South Ari Learning Alliance,5,2018,4,2
South Ari Learning Alliance,5,2019,2,2
South Ari Learning Alliance,5,2019,4,3
South Ari Learning Alliance,5,2020,2,2
South Ari Learning Alliance,6,2018,4,2
South Ari Learning Alliance,6,2019,2,1
South Ari Learning Alliance,6,2019,4,1
South Ari Learning Alliance,6,2020,2,2
Woliso Learning Alliance,1,2018,4,2
Woliso Learning Alliance,1,2019,2,3
Woliso Learning Alliance,1,2019,4,3
Woliso Learning Alliance,1,2020,2,3
Woliso Learning Alliance,2,2018,4,3
Woliso Learning Alliance,2,2019,2,3
Woliso Learning Alliance,2,2019,4,3
Woliso Learning Alliance,2,2020,2,3
Woliso Learning Alliance,3,2018,4,2
Woliso Learning Alliance,3,2019,2,2
Woliso Learning Alliance,3,2019,4,2
Woliso Learning Alliance,3,2020,2,2
Woliso Learning Alliance,4,2018,4,2
Woliso Learning Alliance,4,2019,2,2
Woliso Learning Alliance,4,2019,4,2
Woliso Learning Alliance,4,2020,2,3
Woliso Learning Alliance,5,2018,4,1
Woliso Learning Alliance,5,2019,2,1
Woliso Learning Alliance,5,2019,4,2
Woliso Learning Alliance,5,2020,2,2
Woliso Learning Alliance,6,2018,4,2
Woliso Learning Alliance,6,2019,2,2
Woliso Learning Alliance,6,2019,4,2
Woliso Learning Alliance,6,2020,2,2
Woliso Learning Alliance,7,2018,4,1
Woliso Learning Alliance,7,2019,2,2
Woliso Learning Alliance,7,2019,4,2
Woliso Learning Alliance,7,2020,2,2
Woliso Learning Alliance,8,2018,4,
Woliso Learning Alliance,8,2019,2,1
Woliso Learning Alliance,8,2019,4,2
Woliso Learning Alliance,8,2020,2,2
Woliso Learning Alliance,9,2018,4,3
Woliso Learning Alliance,9,2019,2,2
Woliso Learning Alliance,9,2019,4,2
Woliso Learning Alliance,9,2020,2,2
Woliso Learning Alliance,10,2018,4,1
Woliso Learning Alliance,10,2019,2,1
Woliso Learning Alliance,10,2019,4,1
Woliso Learning Alliance,10,2020,2,1
Debre Birhan Learning Alliance,1,2019,2,2
Debre Birhan Learning Alliance,1,2019,4,3
Debre Birhan Learning Alliance,1,2020,2,3
Debre Birhan Learning Alliance,2,2019,2,3
Debre Birhan Learning Alliance,2,2019,4,3
Debre Birhan Learning Alliance,2,2020,2,3
Debre Birhan Learning Alliance,3,2019,2,3
Debre Birhan Learning Alliance,3,2019,4,2
Debre Birhan Learning Alliance,3,2020,2,2
Debre Birhan Learning Alliance,4,2019,2,1
Debre Birhan Learning Alliance,4,2019,4,2
Debre Birhan Learning Alliance,4,2020,2,3
Debre Birhan Learning Alliance,5,2019,2,2
Debre Birhan Learning Alliance,5,2019,4,2
Debre Birhan Learning Alliance,5,2020,2,3
Debre Birhan Learning Alliance,6,2019,2,2
Debre Birhan Learning Alliance,6,2019,4,2
Debre Birhan Learning Alliance,6,2020,2,2
Debre Birhan Learning Alliance,7,2019,2,1
Debre Birhan Learning Alliance,7,2019,4,2
Debre Birhan Learning Alliance,7,2020,2,2
Debre Birhan Learning Alliance,8,2019,2,1
Debre Birhan Learning Alliance,8,2019,4,2
Debre Birhan Learning Alliance,8,2020,2,3
Debre Birhan Learning Alliance,9,2019,2,2
Debre Birhan Learning Alliance,9,2019,4,2
Debre Birhan Learning Alliance,9,2020,2,2
Debre Birhan Learning Alliance,10,2019,2,2
Debre Birhan Learning Alliance,10,2019,4,1
Debre Birhan Learning Alliance,10,2020,2,1
Debre Birhan Learning Alliance,1,2020,4,3
Debre Birhan Learning Alliance,2,2020,4,3
Debre Birhan Learning Alliance,3,2020,4,2
Debre Birhan Learning Alliance,4,2020,4,2
Debre Birhan Learning Alliance,5,2020,4,1
Debre Birhan Learning Alliance,6,2020,4,2
Debre Birhan Learning Alliance,7,2020,4,1
Debre Birhan Learning Alliance,8,2020,4,1
Debre Birhan Learning Alliance,9,2020,4,1
Debre Birhan Learning Alliance,10,2020,4,
Woliso Learning Alliance,1,2020,4,3
Woliso Learning Alliance,2,2020,4,3
Woliso Learning Alliance,3,2020,4,2
Woliso Learning Alliance,4,2020,4,3
Woliso Learning Alliance,5,2020,4,2
Woliso Learning Alliance,6,2020,4,2
